nation_region,soc3,soc_description,notes,percentage_of_workforce_who_are_full_time
Northern Ireland,241,Legal Professionals,,0.8647126217299981
Northern Ireland,242,"Business, Research and Administrative Professionals",,0.9653153940241133
Northern Ireland,243,"Architects, Town Planners and Surveyors",,1
Northern Ireland,244,Welfare Professionals,,0.7690190022158061
Northern Ireland,245,Librarians and Related Professionals,,0.7115523988983911
Northern Ireland,246,Quality and Regulatory Professionals,Using UK figure,0.925148334094021
Northern Ireland,247,Media Professionals,,0.9449748743718593
Northern Ireland,311,"Science, Engineering and Production Technicians",,0.8889878182038933
Northern Ireland,312,Draughtspersons and Related Architectural Technicians,Using UK figure,0.8933426214107226
Northern Ireland,313,Information Technology Technicians,,1
Northern Ireland,321,Health Associate Professionals,,0.7718824628802824
Northern Ireland,323,Welfare and Housing Associate Professionals,,0.573170731707317
Northern Ireland,331,Protective Service Occupations,,0.9046034982294238
Northern Ireland,341,"Artistic, Literary and Media Occupations",,0.8364461045891142
Northern Ireland,342,Design Occupations,,0.9539650931240483
Northern Ireland,344,Sports and Fitness Occupations,,0.8425326156372593
Northern Ireland,352,Legal Associate Professionals,Using UK figure,0.8245959953240316
Northern Ireland,353,"Business, Finance and Related Associate Professionals",,0.943412815643244
Northern Ireland,354,"Sales, Marketing and Related Associate Professionals",,0.9546507587165528
Northern Ireland,355,Conservation and Environmental Associate Professionals,Using UK figure,0.7917027080976778
Northern Ireland,356,Public Services and Other Associate Professionals,,0.8338959644007979
Northern Ireland,411,Administrative Occupations: Government and Related Organisations,,0.8502633722508824
Northern Ireland,412,Administrative Occupations: Finance,,0.664351064401196
Northern Ireland,413,Administrative Occupations: Records,,0.6345970870233477
Northern Ireland,416,Administrative Occupations: Office Managers and Supervisors,,0.8811220621683094
Northern Ireland,421,Secretarial and Related Occupations,,0.6824479972494413
Northern Ireland,511,Agricultural and Related Trades,,0.877877596855699
Northern Ireland,521,"Metal Forming, Welding and Related Trades",,1
Northern Ireland,522,"Metal Machining, Fitting and Instrument Making Trades",,0.9663736570392075
Northern Ireland,523,Vehicle Trades,,1
Northern Ireland,524,Electrical and Electronic Trades,,0.9793901108889292
Northern Ireland,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",Using UK figure,0.9811118265722258
Northern Ireland,531,Construction and Building Trades,,0.9751841447785732
Northern Ireland,532,Building Finishing Trades,,0.8747518111081298
Northern Ireland,533,Construction and Building Trades Supervisors,,1
Northern Ireland,541,Textiles and Garments Trades,Using UK figure,0.7852935645240154
Northern Ireland,542,Printing Trades,Using UK figure,0.945288053938528
Northern Ireland,543,Food Preparation and Hospitality Trades,,0.6578118348233291
Northern Ireland,544,Other Skilled Trades,,1
Northern Ireland,612,Childcare and Related Personal Services,,0.6535995530488454
Northern Ireland,613,Animal Care and Control Services,Using UK figure,0.6037237378488555
Northern Ireland,614,Caring Personal Services,,0.6770624952174816
Northern Ireland,621,Leisure and Travel Services,,0.6406658912474557
Northern Ireland,622,Hairdressers and Related Services,,0.40987709664163774
Northern Ireland,711,Sales Assistants and Retail Cashiers,,0.35834587947264
Northern Ireland,712,Sales Related Occupations,,0.8641146183120663
Northern Ireland,713,Sales Supervisors,,0.7646582688318916
Northern Ireland,721,Customer Service Occupations,,0.7015743440233236
Northern Ireland,722,Customer Service Managers and Supervisors,Using UK figure,0.8473995256714313
Scotland,222,Therapy Professionals,,0.5056675361631492
Scotland,223,Nursing and Midwifery Professionals,,0.6603827320875387
Scotland,231,Teaching and Educational Professionals,,0.7531443569825562
Scotland,241,Legal Professionals,,0.9194874345396565
Scotland,242,"Business, Research and Administrative Professionals",,0.9077076271475437
Scotland,243,"Architects, Town Planners and Surveyors",,0.9298137264667795
Scotland,244,Welfare Professionals,,0.7687947608287695
Scotland,245,Librarians and Related Professionals,,0.8600870629846279
Scotland,246,Quality and Regulatory Professionals,,0.9388712661908538
Scotland,247,Media Professionals,,0.9038199727716826
Scotland,311,"Science, Engineering and Production Technicians",,0.9433667904626473
Scotland,312,Draughtspersons and Related Architectural Technicians,,0.8896168966314654
Scotland,313,Information Technology Technicians,,0.9863254587102894
Scotland,321,Health Associate Professionals,,0.7168136266514189
Scotland,323,Welfare and Housing Associate Professionals,,0.7318943279260173
Scotland,331,Protective Service Occupations,,0.9668873578870981
Scotland,341,"Artistic, Literary and Media Occupations",,0.6605241881148093
Scotland,342,Design Occupations,,0.548114411896629
Scotland,344,Sports and Fitness Occupations,,0.49123652932809375
Scotland,352,Legal Associate Professionals,,0.9103896974981555
Scotland,353,"Business, Finance and Related Associate Professionals",,0.8660256815737871
Scotland,354,"Sales, Marketing and Related Associate Professionals",,0.8842339231514743
Scotland,355,Conservation and Environmental Associate Professionals,Using UK figure,0.7917027080976778
Scotland,356,Public Services and Other Associate Professionals,,0.8358701955807327
Scotland,411,Administrative Occupations: Government and Related Organisations,,0.6327136219738677
