occupation_group,geography_name,demand_entry_sl,demand_entry_fe,demand_entry_he
Administrative And Secretarial Occupations,GREATER LONDON,56130.07000000001,22871.02,3867.6
Administrative And Secretarial Occupations,SWINDON AND WILTSHIRE,3031.0,1231.0,119.0
Administrative And Secretarial Occupations,NORTHAMPTONSHIRE,3235.0,1324.0,122.0
Administrative And Secretarial Occupations,ENGLAND,269062.12,107863.74,16572.02
Administrative And Secretarial Occupations,ENTERPRISE M3,7396.0,2854.0,322.0
Administrative And Secretarial Occupations,BUCKINGHAMSHIRE THAMES VALLEY,2118.0,841.0,93.0
Administrative And Secretarial Occupations,HERTFORDSHIRE,6220.0,2352.0,281.0
Administrative And Secretarial Occupations,NORTH EAST,5937.0,2457.0,237.0
Administrative And Secretarial Occupations,STOKE-ON-TRENT AND STAFFORDSHIRE,3373.0,1356.0,130.0
Administrative And Secretarial Occupations,SCOTLAND,27021.35,11294.94,1791.37
Administrative And Secretarial Occupations,CUMBRIA,1646.0,777.0,31.0
Administrative And Secretarial Occupations,COAST TO CAPITAL,8571.0,3220.0,394.0
Administrative And Secretarial Occupations,SOUTH EAST ENGLAND,46535.53,18426.73,3064.08
Administrative And Secretarial Occupations,YORKSHIRE AND THE HUMBER,23229.239999999998,9315.65,1569.4
Administrative And Secretarial Occupations,WORCESTERSHIRE,1932.0,704.0,94.0
Administrative And Secretarial Occupations,CHESHIRE AND WARRINGTON,3849.0,1480.0,177.0
Administrative And Secretarial Occupations,OXFORDSHIRE LEP,3449.0,1352.0,180.0
Skilled Trades Occupations,CORNWALL AND THE ISLES OF SCILLY,1406.0,2700.0,13.0
Skilled Trades Occupations,SOUTH EAST,6491.0,13222.0,318.0
Skilled Trades Occupations,SWANSEA BAY CITY REGION,1005.0,1989.0,10.0
Skilled Trades Occupations,GREATER LINCOLNSHIRE,1389.0,2722.0,92.0
Skilled Trades Occupations,NORTHERN IRELAND,3811.6700000000005,6938.77,552.07
Skilled Trades Occupations,THAMES VALLEY BERKSHIRE,2371.0,4737.0,225.0
Skilled Trades Occupations,SOUTH WEST ENGLAND,14296.96,28095.989999999998,816.44
Skilled Trades Occupations,"YORK, NORTH YORKSHIRE AND EAST RIDING",2120.0,3838.0,175.0
Skilled Trades Occupations,LIVERPOOL CITY REGION,2361.0,4560.0,225.0
Skilled Trades Occupations,SHEFFIELD CITY REGION,2655.0,5413.0,147.0
Skilled Trades Occupations,CARDIFF CAPITAL REGION,938.0,1869.0,44.0
Skilled Trades Occupations,LONDON,18818.0,37820.0,1491.0
Skilled Trades Occupations,NORTH WEST ENGLAND,16567.27,31065.18,1037.75
Skilled Trades Occupations,WALES,6476.21,12051.91,483.78999999999996
Skilled Trades Occupations,DORSET,1710.0,3340.0,48.0
Skilled Trades Occupations,EAST OF ENGLAND,14575.289999999999,28957.930000000004,749.7
Skilled Trades Occupations,BELFAST METROPOLITAN AREA,1505.0,3082.0,69.0
Skilled Trades Occupations,EAST MIDLANDS,10576.34,20553.74,676.74
Skilled Trades Occupations,WEST MIDLANDS,15294.86,30052.16,1021.74
Skilled Trades Occupations,SOUTH EAST MIDLANDS,4345.0,8729.0,329.0
Skilled Trades Occupations,NORTH EAST ENGLAND,4882.399999999999,9779.130000000001,204.36
Skilled Trades Occupations,LEICESTER AND LEICESTERSHIRE,2205.0,4307.0,126.0
Skilled Trades Occupations,TEES VALLEY,995.0,1986.0,113.0
Skilled Trades Occupations,BLACK COUNTRY,1582.0,3278.0,35.0
Skilled Trades Occupations,THE MARCHES,1299.0,2470.0,26.0
Skilled Trades Occupations,COVENTRY AND WARWICKSHIRE,3050.0,5918.0,256.0
Skilled Trades Occupations,NEW ANGLIA,3231.0,5927.0,176.0
Skilled Trades Occupations,HEART OF THE SOUTH WEST,3584.0,6879.0,75.0
Skilled Trades Occupations,SOLENT,2836.0,5430.0,199.0
Skilled Trades Occupations,LANCASHIRE,3698.0,6800.0,147.0
Skilled Trades Occupations,LEEDS CITY REGION,4863.0,9873.0,353.0
Skilled Trades Occupations,"DERBY, DERBYSHIRE, NOTTINGHAM AND NOTTINGHAMSHIRE",3284.0,6769.0,230.0
Skilled Trades Occupations,GLASGOW CITY REGION,2599.0,5559.0,178.0
Skilled Trades Occupations,HUMBER,1329.0,2289.0,255.0
Skilled Trades Occupations,GREATER CAMBRIDGE & GREATER PETERBOROUGH,3183.0,6743.0,127.0
Skilled Trades Occupations,GREATER MANCHESTER,4737.0,9831.0,207.0
Skilled Trades Occupations,WEST OF ENGLAND,2726.0,5953.0,256.0
Skilled Trades Occupations,GLOUCESTERSHIRE,1719.0,3349.0,65.0
Skilled Trades Occupations,EDINBURGH AND THE LOTHIANS,2041.0,4184.0,192.0
Skilled Trades Occupations,UK Total,151063.33000000002,293545.93,10112.6
Skilled Trades Occupations,GREATER BIRMINGHAM AND SOLIHULL,4454.0,9258.0,352.0
Skilled Trades Occupations,GREATER LONDON,19375.29,38807.17,1516.5600000000002
Skilled Trades Occupations,SWINDON AND WILTSHIRE,2005.0,3765.0,343.0
Skilled Trades Occupations,NORTHAMPTONSHIRE,1479.0,3114.0,59.0
Skilled Trades Occupations,ENGLAND,129641.61,252802.80999999997,8430.130000000001
Skilled Trades Occupations,ENTERPRISE M3,3836.0,6857.0,301.0
Skilled Trades Occupations,BUCKINGHAMSHIRE THAMES VALLEY,1001.0,1928.0,35.0
Skilled Trades Occupations,HERTFORDSHIRE,2641.0,5299.0,119.0
Skilled Trades Occupations,NORTH EAST,3218.0,6649.0,76.0
Skilled Trades Occupations,STOKE-ON-TRENT AND STAFFORDSHIRE,1754.0,3720.0,55.0
Skilled Trades Occupations,SCOTLAND,11133.84,21752.440000000002,646.61
Skilled Trades Occupations,CUMBRIA,1793.0,3005.0,195.0
Skilled Trades Occupations,COAST TO CAPITAL,3462.0,6978.0,141.0
Skilled Trades Occupations,SOUTH EAST ENGLAND,21659.77,42342.96,1329.08
Skilled Trades Occupations,YORKSHIRE AND THE HUMBER,12413.429999999998,23148.549999999996,1077.76
Skilled Trades Occupations,WORCESTERSHIRE,1624.0,2879.0,157.0
Skilled Trades Occupations,CHESHIRE AND WARRINGTON,2209.0,4324.0,149.0
Skilled Trades Occupations,OXFORDSHIRE LEP,1948.0,3947.0,69.0
Professional Occupations,CORNWALL AND THE ISLES OF SCILLY,53.0,229.0,2959.0
Professional Occupations,SOUTH EAST,680.0,2329.0,25345.0
Professional Occupations,SWANSEA BAY CITY REGION,42.0,173.0,2314.0
Professional Occupations,GREATER LINCOLNSHIRE,134.0,502.0,4794.0
Professional Occupations,NORTHERN IRELAND,194.03000000000003,640.45,11023.15
Professional Occupations,THAMES VALLEY BERKSHIRE,164.0,596.0,6742.0
Professional Occupations,SOUTH WEST ENGLAND,1053.79,3188.3,37664.3
Professional Occupations,"YORK, NORTH YORKSHIRE AND EAST RIDING",101.0,326.0,4464.0
Professional Occupations,LIVERPOOL CITY REGION,149.0,516.0,7867.0
Professional Occupations,SHEFFIELD CITY REGION,180.0,574.0,8574.0
Professional Occupations,CARDIFF CAPITAL REGION,82.0,257.0,3934.0
Professional Occupations,LONDON,3110.0,7589.0,85105.0
Professional Occupations,NORTH WEST ENGLAND,1122.56,3696.0,45472.71
Professional Occupations,WALES,397.3,1306.88,17167.06
Professional Occupations,DORSET,87.0,270.0,3912.0
Professional Occupations,EAST OF ENGLAND,1123.49,3384.120000000001,38455.52
Professional Occupations,BELFAST METROPOLITAN AREA,95.0,344.0,5399.0
Professional Occupations,EAST MIDLANDS,800.87,2566.93,27431.310000000005
Professional Occupations,WEST MIDLANDS,988.53,3524.03,36551.450000000004
Professional Occupations,SOUTH EAST MIDLANDS,300.0,900.0,11044.0
Professional Occupations,NORTH EAST ENGLAND,353.5399999999999,1165.64,15067.219999999998
Professional Occupations,LEICESTER AND LEICESTERSHIRE,97.0,380.0,4264.0
Professional Occupations,TEES VALLEY,62.0,224.0,3170.0
Professional Occupations,BLACK COUNTRY,109.0,455.0,4990.0
Professional Occupations,THE MARCHES,26.0,117.0,2236.0
Professional Occupations,COVENTRY AND WARWICKSHIRE,173.0,546.0,5831.0
Professional Occupations,NEW ANGLIA,198.0,542.0,6695.0
Professional Occupations,HEART OF THE SOUTH WEST,265.0,877.0,10140.0
